Week Number,Job,Assembly,Assembly Description,Qty,Schedule_Group,Department Class,Department,OP_SEQ_NUM,OPERATION_DESCRIPTION,RESOURCE_OPERATIONS_SEQ,RESOURCE_CODE,DESCRIPTION,Usage,Qty Per Hour,Run Time Min,Run Time Hours,Operation Start Date,Operation Completion Date,Paint_Code,NVL(REQ.REQLIST;'NODEMANDFOUND'),SCHED_FLAG
14,3656694,304248,10KG WEIGHT SECURING KIT,1,Servo Auto WK 14-2022,CSS B13,SERVO ABAG,100,SERVO AUTOBAG COMPLETE TO D.1.1,20,AUTO BAG 1,HS-100 EXCEL AUTOBAG,0.009615,104,0.58,0.01,04/04/2022 08:00,04/04/2022 08:15,,No Demand found,Yes
14,3656695,311067,KIT SC 67(WITH EXTRA SCREWS),58,Servo Auto WK 14-2022,CSS B13,SERVO ABAG,100,SERVO AUTOBAG COMPLETE TO D.1.1,20,AUTO BAG 1,HS-100 EXCEL AUTOBAG,0.01,100,34.8,0.58,04/04/2022 08:00,04/04/2022 08:35,,LINEFEED=58,Yes
14,3656696,311073,KIT SC 73(WITH EXTRA SCREWS),40,Servo Auto WK 14-2022,CSS B13,SERVO ABAG,100,SERVO AUTOBAG COMPLETE TO D.1.1,20,AUTO BAG 1,HS-100 EXCEL AUTOBAG,0.006667,150,16,0.27,04/04/2022 08:00,04/04/2022 08:17,,LINEFEED=40,Yes
14,3656697,311158,KIT SC 158,40,Servo Auto WK 14-2022,CSS B13,SERVO ABAG,100,SERVO AUTOBAG COMPLETE TO D.1.1,20,AUTO BAG 1,HS-100 EXCEL AUTOBAG,0.0125,80,30,0.5,04/04/2022 08:00,04/04/2022 08:30,,No Demand found,Yes
14,3656698,311199,KIT SC 199,36,Servo Auto WK 14-2022,CSS B13,SERVO ABAG,100,SERVO AUTOBAG COMPLETE TO D.1.1,20,AUTO BAG 1,HS-100 EXCEL AUTOBAG,0.00431,232,9.31,0.16,04/04/2022 08:00,04/04/2022 08:15,,LINEFEED=36,Yes
14,3656699,311238,KIT SC 238,10,Servo Auto WK 14-2022,CSS B13,SERVO ABAG,100,SERVO AUTOBAG COMPLETE TO D.1.1,20,AUTO BAG 1,HS-100 EXCEL AUTOBAG,0.016667,60,10,0.17,04/04/2022 08:00,04/04/2022 08:15,,SERVOPREP=10,Yes
14,3656700,311262,KIT SC262 (WITH EXTRA SCREWS),4,Servo Auto WK 14-2022,CSS B13,SERVO ABAG,100,SERVO AUTOBAG COMPLETE TO D.1.1,20,AUTO BAG 1,HS-100 EXCEL AUTOBAG,0.005556,180,1.33,0.02,04/04/2022 08:00,04/04/2022 08:15,,LINEFEED=4,Yes
14,3656701,311301,KIT SC301(WITH EXTRA SCREWS),12,Servo Auto WK 14-2022,CSS B13,SERVO ABAG,100,SERVO AUTOBAG COMPLETE TO D.1.1,20,AUTO BAG 1,HS-100 EXCEL AUTOBAG,0.016667,60,12,0.2,04/04/2022 08:00,04/04/2022 08:15,,LINEFEED=12,Yes
14,3656702,311322,KIT SC 322,2,Servo Auto WK 14-2022,CSS B13,SERVO ABAG,100,SERVO AUTOBAG COMPLETE TO D.1.1,20,AUTO BAG 1,HS-100 EXCEL AUTOBAG,0.026667,37.5,3.2,0.05,04/04/2022 08:00,04/04/2022 08:15,,LINEFEED=2,Yes
14,3656703,311363,KIT SC 363,3,Servo Auto WK 14-2022,CSS B13,SERVO ABAG,100,SERVO AUTOBAG COMPLETE TO D.1.1,20,AUTO BAG 1,HS-100 EXCEL AUTOBAG,0.016667,60,3,0.05,04/04/2022 08:00,04/04/2022 08:15,,MOP CELL=3,Yes
